Temp_Drying;RH_Drying;Binder_Composition;Filler_Composition;Water_Composition;Compression_Force;Rotational_Speed;Tablet_Hardness;Disintegration_Time
20;60;50;30;2;1;20;20;8.16
20;60;50;30;2;1;20;20;8.29
20;60;50;30;2;1;20;20;8.19
20;60;50;30;2;1;20;20;8
20;60;50;30;2;1;20;20;8.27
20;60;50;30;2;1;20;20;8.06
25;35;40;40;4;3.5;35;50;13.77
25;35;40;40;4;3.5;35;50;14.09
25;35;40;40;4;3.5;35;50;14.16
25;35;40;40;4;3.5;35;50;13.9
25;35;40;40;4;3.5;35;50;13.69
25;35;40;40;4;3.5;35;50;13.68
26;30;35;45;4;4;38;50;14.23
26;30;35;45;4;4;38;50;14.52
26;30;35;45;4;4;38;50;14.57
26;30;35;45;4;4;38;50;14.54
26;30;35;45;4;4;38;50;14.53
26;30;35;45;4;4;38;50;14.07
27;25;35;45;4;4.5;41;60;17.93
27;25;35;45;4;4.5;41;60;18.07
27;25;35;45;4;4.5;41;60;18.36
27;25;35;45;4;4.5;41;60;17.89
27;25;35;45;4;4.5;41;60;18.4
27;25;35;45;4;4.5;41;60;17.56
28;20;30;50;4;5;44;60;19.13
28;20;30;50;4;5;44;60;19.18
28;20;30;50;4;5;44;60;19.62
28;20;30;50;4;5;44;60;19.43
28;20;30;50;4;5;44;60;19.2
28;20;30;50;4;5;44;60;19.86
29;15;30;50;4;5.5;47;70;29.43
29;15;30;50;4;5.5;47;70;28.97
29;15;30;50;4;5.5;47;70;28.77
29;15;30;50;4;5.5;47;70;28.6
29;15;30;50;4;5.5;47;70;29.65
29;15;30;50;4;5.5;47;70;28.87
